;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Dub Taylor;[u'Bonnie and Clyde', u'A Man Called Horse', u'Them!', u'TZ:Creature from Black Lake', u'Dragnet', u'The Fortune', u'TZ:Evel Knievel']
Olga Ivasheva;[u'TZ:Alexander Nevsky']
Charles Dance;[u'Alien 3', u'Plenty', u'China Moon', u'Last Action Hero', u'White Mischief', u'Good Morning, Babylon', u'Lost in Space', u'The Phantom of the Opera']
Dave OBrian;[u'TZ:Killer Bat']
Terry Camillieri;[u'The Cars That Ate Paris']
Debbi Morgan;[u"Eve's Bayou"]
Peter Weller;[u'Shoot the Moon', u'Naked Lunch', u'Robocop II', u'Robocop', u'Butch and Sundance, the Early Days', u'The Adventures of Buckaroo Banzai: Across the 8th Dimension']
Bruce Dern;[u'Night Caller', u'The Incredible Two-headed Monster', u'Tatoo', u'King of Marvin Gardens', u'The War Wagon', u'TZ:Support Your Local Sheriff', u'Down Periscope', u'Silent Running', u'Marnie', u'Family Plot', u'Coming Home', u'Black Sunday', u'The Great Gatsby', u'TZ:That Championship Season', u'Drive, He Said', u"The 'Burbs", u'Won Ton Ton, The Dog Who Saved Hollywood', u'Smile', u'Diggstown', u'The Cowboys', u'The Wild Angels', u'The Trip', u'Bloody Mama', u'On the Edge', u'Hush Hush, Sweet Charlotte', u'Castle Keep', u"They Shoot Horses, Don't They?", u'The Laughing Policeman', u'Will Penny', u"Hang 'Em High", u'The Driver']
Gwen Lee;[u'Paid']
Preston S. Foster;[u'Ladies they Talk About']
Les Tremayne;[u'War of the Worlds', u'Say One For Me', u"Mrs. Bixby And The Colonel's Coat", u'The Unguarded Moment']
Olympia Papadouka;[u'Phaedra']
Alice Terry;[u'The Four Horsemen of the Apocalypse', u'Mare Nostrum']
Rod Scheider;[u'Judge Dredd']
Albert Dieudonne;[u'Napoleon', u'Madame San G\xeane']
Gene Davis;[u'TZ:Ten to Midnight']
Aurice Moscovich;[u'Love Affair']
Carl 'Alfalfa' Switzer;[u"There's One Born Every Minute"]
Mel Blanc;[u"Daffy Duck's Quackbusters"]
Breon;[u'Of Flesh and Blood']
Lee Strasberg;[u'The Godfather, Part II', u'The Cassandra Crossing', u'TZ:Going in Style', u'TZ:And Justice for All']
Tom Laughlin;[u'TZ:Born Losers', u'Billy Jack']
Athole Fleming;[u'Bulldog Jack']
Margaret Johnston;[u'Night of the Eagle']
Mary Germaine;[u"Where's Charley?"]
Roy Jesse;[u'Harper']
Gloria Talbot;[u'Daughter of Dr. Jekyll']
Pina Cei;[u'Dark Eyes']
Josephine Griffin;[u'The Man Who Never Was']
Michael Flynn;[u'Dream Machine']
Frank Zappa;[u'Funny']
David Opatoshu;[u'Cimarron', u'Enter Laughing', u'Torn Curtain', u'Exodus']
Cliff Norton;[u'Munster, Go Home']
Goetz Otto;[u'Tomorrow Never Dies']
Omar Sharif;[u'The Fall of the Roman Empire', u'The Possessed', u'TZ:Tamarind Seed', u'Lawrence of Arabia', u'Dr. Zhivago', u'TZ:Green Ice', u'TZ:Behold a Pale Horse', u'Funny Lady', u'Crime and Passion', u'TZ:The Last Valley', u'Hero', u"TZ:MacKenna's Gold", u'Juggernaut', u'TZ:The Baltimore Bullet', u'The Appointment', u'Bloodline', u'Funny Girl', u'Beyond Justice']
Frederick Weller;[u'Stonewall']
Mysty Winkler;[u'Debbie does Dallas']
Roger E. Mosley;[u'Stay Hungry', u'Unlawful Entry', u'The River Niger']
Ross Sisters;[u"That's Entertainment III"]
Pauline Frederick;[u'Madame X', u'Thank You, Mr. Moto']
Christopher Dark;[u'Forecast: Low Clouds and Coastal Fog']
Gordon John Sinclair;[u"TZ:Gregory's Girl"]
Vivian Merchant;[u'Accident']
Kamran Shah;[u'The Living Daylights']
Michael Francis Clarke;[u'Die Hard 2']
Phyllis Brooks;[u'Rebecca of Sunnybrook Farm', u'In Old Chicago', u'The Shanghai Gesture']
Andrew Cruikshank;[u'El Cid']
Craig Burke;[u"'Til There Was You"]
Gale Robbins;[u'Three Little Words']
Gerard Darmon;[u'Diva']
Donald Symington;[u'Spring Break']
Joanne Gilbett;[u'Red Garters']
Jose Torres;[u'The Big Bang']
Maria Conchita Alonso;[u'TZ:Moscow on the Hudson', u"Vampire's Kiss", u'Predator II']
Michele Rolla;[u"Monsieur Hulot's Holiday"]
Robin Curtis;[u'Star Trek III: The Search For Spock']
Eb Lottimer;[u'Future Kick', u'Streets']
Mike Vitar;[u'The Sandlot']
Frank overton;[u'Desire Under the Elms']
Peter Boyle;[u'TZ:Where the Buffalo Roam', u'Steelyard Blues', u'Diary of a Mad Housewife', u'Joe', u'Young Frankenstein', u'TZ:Yellowbeard', u'The Candidate', u'Taxi Driver', u'TZ:F.I.S.T.', u'TZ:Outland', u'Hardcore', u'The Friends of Eddie Coyle', u'The Shadow', u'Hammett']
Nigel Fan;[u'Nuns on the Run']
Tom Hulce;[u'The Inner Circle', u'The Hunchback of Notre Dame', u'Animal House', u'Amadeus', u'TZ:Fearless', u'Parenthood', u'Slam Dance']
Ally Sheedy;[u"Betsy's Wedding", u'Only the Lonely', u'War Games', u'Short Circuit', u'The Breakfast Club', u"Man's Best Friend", u'High Art', u'Fear']
Michele Lamar Richards;[u'The Bodyguard']
Simon Williams;[u'TZ:Fiendish Plot of Fu Manchu', u'The Prisoner of Zenda']
Elle McPherson;[u'The Edge', u'Alice']
Orson Bean;[u'How to Be Very Very Popular', u'Anatomy of a Murder']
Galatea Ranzi;[u'Fiorile']
Gillian Anderson;[u'The X-files', u'The Mighty', u'Playing by Heart']
Maurice Schutz;[u'Vampyr']
Laurie Metcalf;[u'Dear God', u'Pacific Heights', u'Blink', u'Internal Affairs', u'JFK', u'Making Mr. Right']
Suzen Murakoshi;[u'Wall Street']
Ricard Wattis;[u'The Happiest Day of Your Life']
Miko Hughes;[u'Mercury Rising', u'Jack the Bear']
Yonathan Lucus;[u'Twelfth Night']
Pierre Vaneck;[u'He Who Must Die']
Eddie Barth;[u'TZ:Fame']
Liselotte;[u'La Fayette']
Sonny Craver;[u"White Men Can't Jump"]
Maureen oHare;[u"A Woman's Secret"]
Cheech Marin;[u'Ferngully, The Last Rainforest', u'Paulie', u'TZ:Yellowbeard', u'After Hours', u'Tin Cup', u'Things Are Tough All Over', u'Up in Smoke', u"Cheech and Chong's Next Movie", u"Cheech and Chong's Nice Dreams", u'It Came from Hollywood', u"Still Smokin'", u"Cheech and Chong's The Corsican Brothers"]
May Whitty;[u'Conquest', u'The White Cliffs of Dover', u'The Constant Nymph', u'Lassie Come Home', u'Gaslight', u'The Lady Vanishes', u'Suspicion', u'The Sign of the Ram', u'My Name is Julia Ross']
Ian Hendry;[u'Tales from the Crypt', u'The Bitch', u'The Passenger', u'Repulsion']
Dan OBannon;[u'Dark Star']
John Abbott;[u'Once Upon A Time', u'The Merry Widow', u'Deception', u'The Mark of Dimitrios', u'Saratoga Trunk', u'Madame Bovary', u'Gigi']
Brook Gardener;[u'Bounty Hunter']
Bithe Neumann;[u'Pain of Love']
Pat Carrol;[u'With Six You Get Eggroll']
Adrian Brody;[u'The Thin Red Line']
George Eastman;[u'TZ:Call of the Wild']
Will Albertson;[u'Toy Soldiers']
Dolores delRio;[u'Lancer Spy', u'Cheyenne Autumn', u'Bird of Paradise', u'Wonder Bar', u'Journey into Fear', u'Flying Down to Rio', u'Madame du Barry']
Lenore Aubert;[u'Abbott and Costello Meet Frankenstein', u'Abbott and Costello Meet the Killer, Boris Karloff', u'They Got Me Covered']
Gene Nelson;[u'Tea for Two', u"The Daughter of Rosie O'Grady", u'Painting the Clouds with Sunshine', u'Oklahoma!', u"She's Working Her Way Through College", u"I Wonder Who's Kissing Her Now?"]
Ed ONeill;[u'Dutch']
Tadeusz Janczar;[u'A Generation']
Danielle Harris;[u'Free Willy']
Debbie Watson;[u'Munster, Go Home', u'Tammy and the Millionaire']
Doris Hare;[u'The League of Gentlemen', u'Nuns on the Run']
Dennis Paladino;[u'Stepfather 3']
Faith Brooks;[u"Miss Beatty's Children"]
Richard Garland;[u'Attack of the Crab Monster']
Rene Leahy;[u'Wag the Dog']
Ingrid Chavez;[u'Graffiti Bridge']
Gus Shy;[u'Good News']
Amy Locane;[u'Cry-Baby']
Bodhi Pine Elfman;[u'Pirates of Silicon Valley']
Jenny Runacre;[u'TZ:Jubilee', u'The Passenger']
Hobart Cavenaugh;[u'State Fair']
Lee Meriwether;[u'The Undefeated', u'Batman']
Snub Pollard;[u'Hollywood Cavalcade']
Evan Bonifant;[u'Three Ninjas Kick Back']
Adrienne Marden;[u'The Man With Two Faces']
Despo Diamantidou;[u'Never on Sunday']
Leornard DiCapria;[u'The Basketball Diaries']
Penny Peterson;[u'Koko, the Talking Gorilla']
Haing S. Ngor;[u'My Life', u'Heaven and Earth', u'The Killing Fields']
Lawrence Gray;[u'The Patsy']
Ken Ogata;[u'The Pillowbook', u'Mishima', u'Vengeance is Mine', u'Ballad of Narayama']
Richard Backus;[u'Deathdream']
Maryedith Burrell;[u'Say Yes']
George Wendt;[u'No Small Affair', u'Gung Ho', u'Forever Young']
Jeffrey deMunn;[u'Blaze']
Richard Stahl;[u'Five Easy Pieces']
Frederick Lebedur;[u'Ginger e Fred']
Howard Smith;[u'State of the Union']
Frankie Lymon and the Teenagers;[u'I Promise to Remember']
Sarah Marshall;[u'Lord Love a Duck', u"I'll Be The Judge, I'll Be The Jury"]
Desmond Llewelyn;[u"On Her Majesty's Secret Service", u'Tomorrow Never Dies']
Walter Gotell;[u'The Spy Who Loved Me']
Massimo Troisi;[u'Il Postino']
Walter Chiari;[u'Those Daring Young Men in Their Jaunty Jalopies', u'Bellisima']
Johann deMeester;[u'Pygmalion']
Howard Keele;[u'The War Wagon']
Delphine Seyrig;[u'Last Year at Marienbad', u'Baisers Vol\xe9s', u'Day of the Jackal', u'Daughters of Darkness', u'La Voie Lact\xe9e', u'The Discreet Charm of the Bourgeousie', u'The Portrait of Dorian Gray in the Yellow Press', u'Freak Orlando', u"Joanne D'Arc of Mongolia", u'Who Are You, Polly Magoo?']
Lillo Brancato;[u'A Bronx Tale']
June Lion;[u'Jumanji']
Cindy Williams;[u'The Conversation', u'American Graffiti', u'Gas-s-s!']
Ralph Maccio;[u'Naked in New York', u'Karate Kid III', u'My Cousin Vinny']
Michael Behn;[u'Alien 2']
Halliwell Hobbes;[u'Here Comes Mr. Jordan', u'To Be or Not To Be', u'Platinum Blonde', u'Maid of Salem', u'Grumpy', u'Gaslight', u'Jealousy', u'Payment Deferred', u'Sherlock Holmes Faces Death', u'Casanova Brown', u'Love Affair']
Harry Coni;[u'Hannibal Lector']
Antony Sher;[u'Mrs. Brown']
Zena Marshall;[u'Dr. No']
Ted Knight;[u'Psycho', u'Party Line', u'Caddyshack', u'Countdown']
Shirley OHara;[u'The Wild Party']
Matthew McConnaughy;[u'Amistad']
Margeret Armstrong;[u'TZ:Lady for a Night']
Ramon Novarro;[u'The Student Prince', u'Ben Hur', u'Sacaramouche']
Donal Logue;[u'Dear God']
Claude Gillingwater;[u'The Prisoner of Shark Island', u'A Tale of Two Cities']
Dominique Gaspar Mars;[u'Virgin Machine']
Jerome Raphael;[u'The Connection']
Joan Whalley;[u'Kill Me Again']
Martin Lamont;[u'Foreign Correspondent']
Irene Pappas;[u'Christ Stopped at Eboli', u'Mohammad, Messenger of God', u'Electra', u'Iphigenia', u'The Brotherhood']
Mike Norris;[u'TZ:Young Warriors']
Terence Mann;[u'A Chorus Line']
Benny Goodman;[u"The Gang's All Here", u'The Big Broadcast of 1937', u'The Benny Goodman Story']
Noriyuki `Pat' Morita;[u'Karate Kid III']
Felix Felton;[u'Licensed to Kill']
Alfie Bass;[u'The Millionairess', u'The Bespoke Overcoat', u'The Night My Number Came Up', u'The Fearless Vampire Killers']
Paul mcGann;[u'Alien 3', u'Afraid of the Dark']
Stuart Paul;[u'Falling in Love Again']
Bora Todorovic;[u'Time of the Gypsies']
Djimin Hounson;[u'Amistad']
JoAnne Samuel;[u'Mad Max']
Samuel West;[u'Jane Eyre', u'The Reunion']
Manuela Velasco;[u'Law of Desire']
Juliet Aubrey;[u'Middlemarch']
Robert Benigni;[u'Night on Earth']
Michael Denison;[u'The Importance of Being Earnest']
Daniel Emilfork;[u'Trans-Europe Express']
Allyn Joslyn;[u"You Can't Run Away From It", u'Heaven Can Wait', u'If You Knew Susie', u'I Wake up Screaming', u'Only Angels Have Wings', u'Titanic', u'The Great McGinty', u'Island in the Sky']
Pat Priest;[u'The Incredible Two-headed Monster']
Kevin Pollack;[u'Avalon', u'Indian Summer', u'L.A. Story']
Christophe Garcia;[u'Carences']
Margaret Hayes;[u"Sullivan's Travels"]
Kulvinder Ghir;[u'Rita, Sue and Bob Too']
Betty Lynn;[u'June Bride']
Fabian Ferreux;[u'Souffle au Coeur']
Vladimir Barsky;[u'Bronenosets Potemkin']
Patricia Smith;[u'The Bachelor Party']
June Brown;[u'Bean']
Marilia Pera;[u'Pixote']
Murray Louis;[u'Nik and Murray']
Lucie Arnaz;[u'TZ:Second Thoughts']
Chief Akawanush;[u'The Silent Enemy']
Lucie Mannheim;[u'The 39 Steps']
Sophie Berger;[u'Emmanuelle IV']
Etienne Giradot;[u"The Whole Town's Talking"]
Robert Bice;[u'Tarzan and the She-Devil']
Cornel Wilde;[u'Passion', u'Saadia', u'The Comic', u'TZ:Norseman', u'The Greatest Show on Earth', u'A Song To Remember', u'Strom Fear', u'Maracaibo', u'Lancelot and Guinevere', u'The Naked Prey', u'Beach Red', u'No Blade of Grass', u"Shark's Treasure", u'Shockproof', u'Leave Her to Heaven', u'The Big Combo', u'Fifth Musketeer', u'Forever Amber']
Simone Griffith;[u'Death Race 2000']
Anthony Heald;[u'Whispers in the Dark', u'The Silence of the Lambs']
Donna Michelle;[u'Beach Blanket Bingo']
Cyril Maude;[u'Grumpy']
Wolfgang Kieling;[u'Torn Curtain']
Jenny Wright;[u'The Wild Life', u'Near Dark', u'Out of Bounds']
James Harcourt;[u"Hobson's Choice"]
Herta Ware;[u'Crazy in Love', u'Cocoon']
James Neill;[u'The Cheat']
Ben Schenkman;[u'PI']
William Ragsdale;[u'Vampire ... Did you say Vampire?']
Lorraine Bracco;[u'Traces of Red', u'Switch', u'Even Cowgirls get the Blues', u'Medicine Man', u'Goodfellas']
Tom Bosley;[u'The World of Henry Orient', u'TZ:The Secret War of Harry Frigg']
Jarma Lewis;[u'Raintree County', u'The Bar Sinister', u'Prince Valiant']
Henny Youngman;[u'Funny']
Katherine Helmond;[u'Family Plot', u'Time Bandits', u'TZ:Diary of a Teenage Hitchhiker']
Laird Cregar;[u"Charley's Aunt", u'Heaven Can Wait', u'This Gun for Hire', u'I Wake up Screaming', u'The Black Swan', u'The Lodger', u'Hangover Square', u'Holy Matrimony', u"Hudson's Bay", u'Blood and Sand', u'Rings on her Fingers']
Lance Henriksen;[u'Jennifer 8', u'Alien 3', u'Hard Target', u'Near Dark', u'No Escape', u'TZ:The Right Stuff', u'Alien 2']
Chris Rock;[u'Dr.Dolittle', u'Lethal Weapon 4']
Bill Gerber;[u'TZ:Terraces']
Hobart cavanaugh;[u"A Midsummer Night's Dream"]
Helena Carter;[u'Invaders From Mars']
Charles Lamy;[u'The Fall of the House of Usher']
Carol Ohmart;[u'The Wild Party', u'House on Haunted Hill']
Robert Hays;[u'TZ:Take this Job and Shove it', u'Airplane!', u'Airplane II: The Sequel', u'TZ:Trenchcoat', u'TZ:Scandalous']
Monique Gabrielle;[u'Emmanuelle V', u'Night Shift']
Frank Elliott;[u'Easy Virtue']
Pierre Londiche;[u'Joy et Joan']
Fred Mancuso;[u'Made in America']
Robert Lang;[u'The First Great Train Robbery']
Tony Aguilar;[u'The Undefeated']
Claude Romain;[u'La Marie du Port']
Pernard Lajarrige;[u'Rendevouz de Julliet']
Kyra Sedgewick;[u'Singles', u'Born on the Fourth of July', u'Critical Care']
Poul Reumert;[u"The Aviator's Generosity"]
Herbert Bunston;[u'The Richest Girl in The World']
JeanPierre Aumont;[u'La Nuit Americaine', u"The Devil at Four o'Clock", u'Castle Keep', u'Heartbeat']
Henry Mollison;[u'The Great Impersonation']
David Hedison;[u'The Enemy Below', u'Live and Let Die', u'The Fly']
Daniel Wu;[u'Bishonen']
Jose Garcia;[u'Curse II, The Bite']
Eli Wallach;[u'Mistress', u'The Hunter', u'Memoirs of a Movie Palace', u'Kisses for My President', u'Baby Doll', u'The Godfather, Part III', u'The Brain', u'How the West Was Won', u'The Misfits', u'The Magnificent Seven', u'Night and the City', u'Tough Guys', u"TZ:MacKenna's Gold", u'The Two Jakes', u'Nasty Habits', u'Nuts', u'The Deep', u'Lord Jim', u'TZ:Ave Maria', u'The Good, The Bad, and The Ugly', u'The Domino Principle', u'Movie Movie', u'How to Steal a Million']
Pia Degermark;[u'Elvira Madigan', u'TZ:The Looking Glass War']
Moray Watson;[u'The Grass is Greener']
GianMaria Volonte;[u"L'Oevre au Noir"]
Brandon deWilde;[u'The Member of the Wedding', u'Shane', u"The Sorcerer's Apprentice", u'Hud']
Angela Dorian;[u"Rosemary's Baby"]
Skeets Galagher;[u'Paramount on Parade']
Miguel Sandoval;[u'Up Close and Personal', u'Mrs. Winterbourne']
Nella Walker;[u'Sabrina', u'Ace of Aces', u'Stella Dallas', u'Kitty Foyle']
Johnny Russel;[u'The Blue Bird']
Ed Asner;[u'To Catch a Butterfly', u'Fort Apache, The Bronx', u'The Cannonball Run', u"TZ:Hey, I'm Alive", u'The Skin Game', u'TZ:Daniel', u'Gus', u'Daughter of the Mind', u'Change of Habit']
Quentin Tarentino;[u'From Dusk to Dawn']
Blanch Sweet;[u'All on Account of Milk']
AnneMarie McDonald;[u"I've Heard the Mermaids Singing"]
Don Beddoe;[u'The Night of the Hunter', u'The Cuckoo Clock', u'The Bachelor and the Bobbysoxer', u"They Won't Believe Me", u'TZ:Cyrano de Bergerac', u'The Impossible Years', u'Before I Hang']
Clara Blandick;[u'Romance', u'Three on A Match', u'The Wizard of Oz']
Bill Kerr;[u'TZ:Deadline', u'The Coca-Cola Kid', u'The Night My Number Came Up', u'Gallipoli', u'The Year of Living Dangerously', u'Razorback']
Lee Majors;[u'TZ:Norseman', u'TZ:Steel', u'Will Penny', u'The Liberation of L.B. Jones']
Paul Reubens;[u'Dr.Dolittle', u'Buffy the Vampire Slayer', u'Big Top Pee-wee', u"Pee-Wee's Big Adventure"]
Natan Zahavi;[u'unknown']
Sydney Greenstreet;[u'TZ:Passage to Marseilles', u'Flamingo Road', u'Across the Pacific', u'TZ:They Died With Their Boots On']
Bo Hopkins;[u'American Graffiti', u'The Day of the Locust', u'A Small Town in Texas', u'Killer Elite']
Alma Rubens;[u'Show Boat']
Ringo Strarr;[u'Lisztomania']
George Rowe;[u'The Mermaids of Tiburon', u'Aqua Sex']
Luca Canonici;[u'La Boheme']
Robert Morley;[u'Libel', u'The Journey', u'High Road to China', u'An Outcast of the Islands', u'Beau Brummel', u'War and Remembrance', u'The Alphabet Murders', u'Major Barbara', u'Of Human Bondage', u'The African Queen', u'Beat the Devil', u'Topkapi', u'Those Magnificent Men in Their Flying Machines', u'Cromwell', u'Road to Hong Kong', u'Around the World in 80 Days', u'The Human Factor', u'Hotel Paradiso', u'The Loved One', u'Marie Antoinette']
Frank C. Moran;[u'The Great McGinty']
Pal;[u'Lassie Come Home', u'Son of Lassie']
Charlie Chase;[u'Sons of the Desert']
Martine Gautier;[u'May Fools']
Tor Johnson;[u'Bride of the Monster', u'Plan 9 From Outer Space', u'The Black Sheep']
Dwight West;[u'Nine 1/2 Weeks']
Sean Patrick Flanery;[u'Powder']
David Ford;[u'TZ:1776']
Michael Ontken;[u'Postcards from the Edge']
Frederick Burton;[u'An American Tragedy']
Josie deGuzman;[u'FX2 - The Deadly Art of Illusion']
Lynn Danielson;[u'Nickle and Dime']
Ewa Froeling;[u'Fanny and Alexander']
Carrie Otis;[u'Exit in Red']
Anne Wiazemsky;[u'La Chinoise', u'Au Hazard, Balthazar']
Gary Morse;[u'Reunion at Fairborough']
Geraldine Chaplin;[u'Welcome to L.A.', u'Elisa, vida mia', u'Cria!', u'Dr. Zhivago', u'Cousin Bette', u"The Mirror Crack'd", u'The Age of Innocence', u'Chaplin', u'Nashville', u'TZ:The Three Musketeers', u'TZ:Four Musketeers', u'The Hawaiians', u'Liar Liar']
Kiyoshi Atsumi;[u'Otoko wa Tsurayo', u'Tora-San Goes to Vienna', u'What A Life! My Uncle Tora']
Rosamund Greenwood;[u'The Prince and the Showgirl']
Otis Young;[u'The Last Detail']
Joe Robinson;[u'The Loneliness of the Long-distance Runner']
Kimberlea Cloughley;[u'Back Roads']
Ethel Smith;[u"George White's Scandals"]
Luella Gear;[u'Carefree']
Patricia Medina;[u'Abbott and Costello in the Foreign Legion', u"Don't Take it to Heart", u'See the Monkey Dance', u'Snowwhite and the Three Stooges']
Anna Pacquin;[u'Jane Eyre', u'The Piano']
Genevieve Brunet;[u'Les Carnets de Major Thompson']
Adriana Caselotti;[u'Snow White and the Seven Dwarfs']
Mariette Hartley;[u'TZ:Improper Channels', u'TZ:Marooned']
Phyllis Kirk;[u'House of Wax']
Curly Joe;[u'The Three Stooges Meet Hercules', u'The Three Stooges in Orbit', u'The Three Stooges Go Around the World in A Daze']
Olivia Hack;[u'The Brady Bunch Movie']
Nikolai Pastukhov;[u'The Russia House']
Erica Gavin;[u'Caged Heat']
Morgan Woodward;[u'The Killing of a Chinese Bookie', u'Which Way is Up?', u'The Midnight Man', u'Cool Hand Luke']
Frédérique Jamet;[u"L'homme qui aimait les femmes"]
Dean Stockell;[u'The Player']
Mark Lawrence;[u'Jigsaw', u'Charlie Chan at the Wax Museum']
Sam Gilmore;[u'Insomnia']
Jane Russell;[u'Son of Paleface', u'Gentlemen Prefer Blondes', u'The Outlaw', u'His Kind of Woman', u'Double Dynamite', u'Foxfire', u'The Paleface', u'The Fuzzy Pink Nightgown', u'Gentlemen Prefer Brunettes', u'TZ:Born Losers']
Laurie Walters;[u'The Harrad Experiment', u'The Harrad Summer']
Cantilene;[u'Rose France']
Robert Kennedy;[u'The Penguin Pool Murder']
Matthew Betz;[u'The Wedding March']
Sally Eilers;[u'State Fair', u'Strike Me Pink']
Romolo Valli;[u'The Leopard', u'Death in Venice', u'TZ:Bobby Deerfield', u'The Garden of the Finzi-Continis']
Victor Banerjee;[u'A Passage to India', u'Bitter Moon']
Lena Heady;[u'Mrs. Dalloway']
Lydia Sherwood;[u'The League of Gentlemen', u'Romeo and Juliet']
Jane Wenham;[u'An Inspector Calls']
Cissy Meddings;[u'Strangers in Good Company']
Emery Powell;[u'Foreign Correspondent']
Phil Collins;[u'Buster', u"A Hard Day's Night", u'and the Band Played On']
Jesse White;[u'Pajama Party', u'Harvey', u'Million Dollar Mermaid', u'On the Double', u'Las Vegas Lady', u'Bless the Beasts and Children']
Jody Graber;[u'Edward II']
Burr McIntosh;[u'Lilac Time', u'The Richest Girl in The World']
William Conrad;[u'The 31st of February', u'Sorry Wrong Number', u'The Naked Jungle', u'-30-', u'TZ:Night Cries', u'Body and Soul', u'The Killers']
Susan Lanier;[u'The Hills Have Eyes']
Cliff Roberson;[u'The Big Show', u'Picnic']
John Milius;[u'Hearts of Darkness', u'Crazy Mama']
Carlo Brandt;[u'Indochine']
Mili Avital;[u'Kissing a Fool']
Sara Shane;[u'Magnificent Obsession']
Elizabeth Berkley;[u'Showgirls']
Lina Fiorentino;[u'The Last Seduction']
